sku_id,product_name,product_type,hero_sku,current_price,cogs,competitor_price,mrp,stock_on_hand,days_of_cover,sell_through_weekly_pct,ageing_days,stockout_risk_pct,days_to_season_end,current_ad_spend_per_unit,roas,conversion_rate,ctr,cpc,last_30d_sales,avg_daily_sessions,conversion_benchmark,weekly_sales_vs_baseline,trend_7d_pct,demand_uncertainty_sigma
CG-001,FabIndia Premium Silk Kurta,seasonal,1,4999,1680,5199,6999,36,4,24,14,14,45,42,11.8,6.1,4.2,7.8,520,12000,5.6,1.92,18,0.13
CG-002,FabIndia Wedding Kurta,seasonal,0,4299,1450,4499,5999,30,5,22,18,15,42,38,10.9,5.7,3.9,7.1,470,11000,5.0,1.84,16,0.14
CG-003,Biba Premium Silk Saree,seasonal,1,6999,2560,7299,9999,28,4,20,16,16,50,46,4.2,3.5,2.4,12.8,390,9800,4.8,1.15,14,0.11
CG-004,Biba Premium Festive Saree,seasonal,1,7499,2700,7799,10999,24,4,18,20,18,48,50,4.0,3.3,2.2,13.4,360,9400,4.7,1.08,12,0.11
CG-005,Manyavar Wedding Collection,seasonal,1,8999,3320,9399,12999,32,5,21,15,13,52,55,6.0,4.0,2.8,10.9,610,10800,5.2,1.28,15,0.12
CG-006,Manyavar Festive Kurta,seasonal,0,4599,1540,4799,6499,42,6,19,17,12,40,41,10.7,5.4,3.6,8.5,700,14300,4.8,1.78,16,0.14
CG-007,W Signature Kurta,seasonal,0,3899,1320,4099,5599,52,7,22,15,11,41,40,10.4,5.2,3.5,8.7,720,14500,4.7,1.76,17,0.14
CG-008,Premium Occasion Wear,seasonal,0,5599,1980,5799,7999,34,5,20,18,15,38,44,6.5,4.1,2.9,11.5,560,12000,4.9,1.34,13,0.13
CG-009,FabIndia Statement Kurta,seasonal,0,3899,1320,4099,5599,48,6,21,16,12,41,39,10.4,5.2,3.5,8.7,680,14000,4.6,1.72,15,0.14
CG-010,Biba Festive Kurta,seasonal,0,4499,1560,4699,6399,40,6,19,18,13,43,40,10.1,5.0,3.4,8.9,660,13800,4.5,1.70,14,0.13
CG-011,FabIndia Heritage Kurta,seasonal,0,4599,1540,4799,6499,38,6,20,19,12,40,41,10.7,5.4,3.6,8.5,700,14300,4.8,1.78,16,0.14
CG-012,Manyavar Groom Wear,seasonal,0,9999,3820,10499,13999,22,3,18,10,10,35,62,6.8,4.5,3.1,11.8,500,10000,5.0,1.22,11,0.12
CG-013,Premium Wedding Saree,seasonal,0,8199,3140,8599,11999,20,4,17,13,13,48,58,4.1,3.4,2.3,13.0,420,9200,4.4,1.00,10,0.11
CG-014,Biba Bridal Saree,seasonal,0,7999,3050,8399,11499,18,3,16,12,12,50,60,4.0,3.3,2.2,13.5,400,9000,4.3,0.98,9,0.11
CG-015,FabIndia Premium Silk Saree,seasonal,1,8999,3400,9499,12999,14,2,12,9,8,40,70,3.9,2.8,1.9,15.0,260,8000,3.9,0.86,8,0.10
CG-016,Biba Premium Festive Saree,seasonal,0,7499,2760,7799,10999,16,3,14,14,10,44,66,4.2,3.1,2.1,14.1,300,8600,4.1,0.92,9,0.10
CG-017,W Premium Collection,seasonal,0,6999,2580,7299,9999,26,4,19,17,11,42,48,9.8,5.1,3.4,9.4,640,12600,4.6,1.66,14,0.13
CG-018,Manyavar Wedding Set,seasonal,0,9499,3600,9899,13499,24,4,18,16,12,46,56,6.2,4.1,2.8,11.2,540,10300,5.1,1.24,12,0.12
CG-019,FabIndia Festive Heritage,seasonal,0,6299,2350,6599,8999,28,4,17,15,11,39,45,10.2,5.0,3.3,9.1,610,13200,4.7,1.58,13,0.13
CG-020,Biba Premium Bridal Saree,seasonal,0,8499,3300,8899,12499,14,2,11,11,7,43,72,3.8,2.7,1.8,15.4,240,7800,3.8,0.80,7,0.10
