sku_id,product_name,product_type,hero_sku,current_price,cogs,competitor_price,mrp,stock_on_hand,days_of_cover,sell_through_weekly_pct,ageing_days,stockout_risk_pct,days_to_season_end,current_ad_spend_per_unit,roas,conversion_rate,ctr,cpc,last_30d_sales,avg_daily_sessions,conversion_benchmark,weekly_sales_vs_baseline,trend_7d_pct,demand_uncertainty_sigma
ET-001,FabIndia Cotton Kurta,stable,1,1499,520,1599,1999,420,18,14,22,12,0,18,5.8,4.2,2.8,9.0,1560,8200,3.5,1.25,6,0.12
ET-002,FabIndia Indigo Kurta,stable,1,1599,560,1549,2099,380,16,12,28,15,0,20,4.9,3.8,2.5,9.5,1380,7600,3.2,1.10,4,0.13
ET-003,Biba Floral Kurta,stable,0,1699,600,1649,2299,360,15,13,18,10,0,16,5.4,4.0,2.6,8.8,1490,7100,3.4,1.08,5,0.11
ET-004,W Straight Kurta,stable,0,1299,470,1349,1799,430,20,11,17,12,0,15,5.7,4.3,2.8,8.4,1520,8000,3.4,1.14,6,0.12
ET-005,Manyavar Casual Kurta,stable,0,1799,690,1849,2499,300,14,15,21,11,0,19,5.2,3.9,2.7,10.1,1460,6800,3.3,1.18,7,0.11
ET-006,Aurelia Printed Kurta,stable,0,1399,490,1369,1899,410,18,12,24,13,0,17,5.1,3.8,2.6,9.0,1440,7400,3.2,1.12,5,0.12
ET-007,Libas Cotton Kurta,stable,0,1299,460,1319,1799,390,19,13,19,12,0,16,5.5,4.1,2.7,8.6,1510,7900,3.3,1.16,6,0.11
ET-008,FabIndia Linen Kurta,stable,0,1599,560,1619,2199,390,17,13,19,11,0,17,5.6,4.1,2.9,8.5,1510,7900,3.5,1.15,5,0.12
ET-009,Biba Solid Kurta,stable,0,1399,500,1369,1899,410,18,12,21,12,0,18,5.2,3.9,2.6,8.9,1440,7400,3.3,1.12,4,0.13
ET-010,Manyavar Festive Kurta,stable,0,1899,740,1849,2599,320,13,14,25,10,0,19,5.0,3.7,2.5,10.4,1320,6500,3.1,1.05,4,0.12
ET-011,Roadster Casual Shirt,stable,0,999,410,1049,1499,520,22,11,12,8,0,12,6.2,4.8,3.1,7.4,1620,9300,3.9,1.30,9,0.10
ET-012,US Polo Oxford Shirt,stable,1,1699,690,1739,2299,300,16,14,22,13,0,19,5.0,3.8,2.5,10.5,1390,6700,3.2,1.08,5,0.11
ET-013,Snitch Overshirt,stable,0,1799,760,1849,2399,280,13,10,26,16,0,24,4.4,3.4,2.1,11.8,1130,6100,3.0,0.95,-4,0.16
ET-014,Max Fashion Polo,stable,0,1099,390,1149,1599,540,24,14,9,7,0,11,6.8,5.1,3.6,7.0,1760,9200,4.1,1.26,8,0.10
ET-015,Levis Slim Jeans,stable,0,2499,1180,2599,3299,260,11,9,24,18,0,30,3.8,2.9,1.8,14.2,980,5400,2.8,0.92,-3,0.18
ET-016,US Polo Polo,stable,1,1599,640,1549,2099,310,17,15,20,11,0,20,5.1,3.9,2.7,10.1,1460,6800,3.3,1.20,7,0.11
ET-017,Souled Store Graphic Tee,stable,0,899,320,949,1299,620,26,16,8,6,0,10,7.0,5.4,3.8,6.9,1840,9800,4.4,1.38,10,0.09
ET-018,HM Classic Tee,stable,0,799,280,829,1199,680,29,17,6,5,0,9,7.3,5.7,4.0,6.1,1910,10400,4.5,1.42,11,0.08
ET-019,Libas Everyday Kurta,stable,0,1199,430,1229,1599,560,23,13,10,7,0,11,6.6,5.0,3.5,7.2,1710,9000,4.0,1.24,8,0.10
ET-020,Manyavar Smart Kurta,stable,0,1999,780,2049,2799,290,12,14,23,9,0,18,5.3,3.8,2.6,10.2,1280,6400,3.2,1.06,4,0.12
